refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
NUYFET	Fe	2	0	6	250	Octahedral	0.96	('N', 'N', 'O', 'O', 'O', 'O')	['H18-C18-N2-O6', 'H4-C-O', 'H4-C-O']	H26-C20-N2-O8-Fe	6	26	['NUYFET']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
GAVDEN	Fe	2	0	6	192	Octahedral	0.03	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H4-C6-N-O2', 'H4-C6-N-O2']	H16-C12-N2-O8-Fe	6	26	['GAVDEN', 'CARQUH']	2	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
NEJBOT	Fe	2	2	6	148	Octahedral	0.12	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H5-C5-N', 'H5-C5-N']	H18-C10-N2-O4-Fe	6	26	['NEJBOT']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
WIWBEK	Fe	2	0	6	244	Octahedral	0.34	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H6-C10-N-O2', 'H6-C10-N-O2']	H20-C20-N2-O8-Fe	6	26	['WIWBEK']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
TEVWUN	Fe	2	0	6	190	Octahedral	0.84	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H6-C12-N2-O4']	H14-C12-N2-O8-Fe	6	26	['TEVWUN']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
IFIPAP	Fe	2	0	6	220	Octahedral	0.11	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H6-C8-N-O2', 'H6-C8-N-O2']	H20-C16-N2-O8-Fe	6	26	['IFIPAP']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
TAYBUT	Fe	2	0	6	260	Octahedral	0.14	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H6-C9-N3-O2', 'H6-C9-N3-O2']	H20-C18-N6-O8-Fe	6	26	['TAYBUT']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
HOPJAY	Fe	2	0	6	308	Octahedral	0.07	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H6-C9-N3-O3-S', 'H6-C9-N3-O3-S']	H20-C18-N6-O10-S2-Fe	6	26	['HOPJAY', 'AZOFOL']	2	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
JUDZUF	Fe	2	2	6	140	Octahedral	1.03	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H7-C8-N3']	H15-C8-N3-O4-Fe	6	26	['JUDZUF']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
MIKJAS	Fe	2	0	6	198	Octahedral	1.04	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H8-C12-N2', 'O4-S']	H14-C12-N2-O7-S-Fe	6	26	['MIKJAS']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
BOFFIL	Fe	2	0	6	172	Octahedral	0.73	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H3-C5-N2-O2', 'H3-C5-N2-O2']	H10-C10-N4-O6-Fe	6	26	['BOFFIL']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
ETUSOC	Fe	2	0	6	204	Octahedral	0.86	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H3-C5-N2-O4', 'H3-C5-N2-O4']	H10-C10-N4-O10-Fe	6	26	['ETUSOC', 'TIGKEZ']	2	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
OFANER	Fe	2	0	6	124	Octahedral	0.81	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H4-C2-N-O2', 'H4-C2-N-O2']	H12-C4-N2-O6-Fe	6	26	['OFANER']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
FINQOJ	Fe	2	0	6	216	Octahedral	0.96	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H4-C7-N-O4', 'H4-C7-N-O4']	H12-C14-N2-O10-Fe	6	26	['FINQOJ', 'FIQJEV']	2	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
KALNOB	Fe	2	0	6	224	Octahedral	1.14	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C10-N-O2', 'H6-C10-N-O2']	H16-C20-N2-O6-Fe	6	26	['KALNOB', 'PEMNUQ']	2	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
BOVMEF	Fe	2	0	6	284	Octahedral	0.91	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C10-N3-O4', 'H6-C10-N3-O4']	H16-C20-N6-O10-Fe	6	26	['BOVMEF', 'DUCDIP']	2	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
BOMFER	Fe	2	2	6	140	Octahedral	2.47	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C2-N2-O2', 'H6-C2-N2-O2']	H16-C4-N4-O6-Fe	6	26	['BOMFER']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
QOBGIZ	Fe	2	0	6	168	Octahedral	1.51	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C4-N-O3', 'H6-C4-N-O3']	H16-C8-N2-O8-Fe	6	26	['QOBGIZ']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
AROBIS	Fe	2	0	6	224	Octahedral	1.63	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C6-N-O3-S', 'H6-C6-N-O3-S']	H16-C12-N2-O8-S2-Fe	6	26	['AROBIS']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
HAKDOO	Fe	2	0	6	236	Octahedral	0.97	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C7-N2-O4', 'H7-C7-N2-O4']	H18-C14-N4-O10-Fe	6	26	['HAKDOO']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
OJIZUC	Fe	2	2	6	176	Octahedral	0.11	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H9-C7-N-O', 'H9-C7-N-O']	H22-C14-N2-O4-Fe	6	26	['OJIZUC']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
AGUDIQ	Fe	2	0	6	282	Octahedral	1.62	('N', 'N', 'O', 'O', 'O', 'O')	['H22-C20-N2-O8', 'H4-C-O', 'H4-C-O']	H30-C22-N2-O10-Fe	6	26	['AGUDIQ']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
DOJSOM	Fe	2	0	6	392	Octahedral	1.12	('N', 'N', 'O', 'O', 'O', 'O')	['H23-C20-N-O2-Cl', 'H23-C20-N-O2-Cl']	H46-C40-N2-O4-Cl2-Fe	6	26	['DOJSOM']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
QANMIB	Fe	2	0	6	524	Octahedral	4.11	('N', 'N', 'O', 'O', 'O', 'O')	['H25-C25-O2', 'H25-C25-O2', 'H9-C7-N', 'H9-C7-N']	H68-C64-N2-O4-Fe	6	26	['QANMIB', 'QANMUN']	2	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
JAVJAS	Fe	2	0	6	194	Octahedral	1.54	('N', 'N', 'O', 'O', 'O', 'O')	['H3-C2-O3', 'H3-C2-O3', 'H9-C10-N3']	H15-C14-N3-O6-Fe	6	26	['JAVJAS']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
RIFCAM	Fe	2	-2	6	196	Octahedral	4.57	('N', 'N', 'O', 'O', 'O', 'O')	['H3-C7-N-O4', 'H3-C7-N-O4']	H6-C14-N2-O8-Fe	6	26	['RIFCAM']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
IBODEK	Fe	2	0	6	500	Octahedral	4.50	('N', 'N', 'O', 'O', 'O', 'O')	['H38-C28-N-O3', 'H38-C28-N-O3']	H76-C56-N2-O6-Fe	6	26	['IBODEK']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
WODKAB	Fe	2	0	6	188	Octahedral	0.83	('N', 'N', 'O', 'O', 'O', 'O')	['H4-C-O', 'H4-C-O', 'H4-C6-N-O2', 'H4-C6-N-O2']	H16-C14-N2-O6-Fe	6	26	['WODKAB']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
UMEWAK	Fe	2	0	6	240	Octahedral	0.74	('N', 'N', 'O', 'O', 'O', 'O')	['H4-C-O', 'H4-C-O', 'H6-C10-N-O2', 'H6-C10-N-O2']	H20-C22-N2-O6-Fe	6	26	['UMEWAK', 'FOCTAT']	2	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
WADHIT	Fe	2	0	6	256	Octahedral	1.05	('N', 'N', 'O', 'O', 'O', 'O')	['H6-C10-N-O2', 'H6-C10-N-O2', 'H6-C2-O', 'H6-C2-O']	H24-C24-N2-O6-Fe	6	26	['WADHIT']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
ARIGOX	Fe	2	0	6	272	Octahedral	1.08	('N', 'N', 'O', 'O', 'O', 'O')	['H6-C10-N-O2', 'H6-C10-N-O2', 'H8-C3-O', 'H8-C3-O']	H28-C26-N2-O6-Fe	6	26	['ARIGOX']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
QETDOI	Fe	2	2	6	212	Octahedral	0.83	('N', 'N', 'O', 'O', 'S', 'S')	['H10-C5-N4-S', 'H10-C5-N4-S', 'H2-O', 'H2-O']	H24-C10-N8-O2-S2-Fe	6	26	['QETDOI']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'S', 'S']
PUVROP	Fe	2	0	6	400	Octahedral	3.87	('N', 'N', 'O', 'O', 'S', 'S')	['H11-C16-N3-O-S-Br', 'H11-C16-N3-O-S-Br']	H22-C32-N6-O2-S2-Fe-Br2	6	26	['PUVROP']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'S', 'S']
CETFAI	Fe	2	2	6	180	Octahedral	0.72	('N', 'N', 'O', 'O', 'S', 'S')	['H2-O', 'H2-O', 'H6-C3-N4-S', 'H6-C3-N4-S']	H16-C6-N8-O2-S2-Fe	6	26	['CETFAI']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'S', 'S']
WIYGOA	Fe	2	2	6	196	Octahedral	0.73	('N', 'N', 'O', 'O', 'S', 'S')	['H2-O', 'H2-O', 'H8-C4-N4-S', 'H8-C4-N4-S']	H20-C8-N8-O2-S2-Fe	6	26	['WIYGOA']	1	Fe_2_6_Octahedral_['N', 'N', 'O', 'O', 'S', 'S']
GEDFIE	Fe	2	2	6	232	Octahedral	0.78	('N', 'N', 'P', 'P', 'P', 'P')	['H16-C6-P2', 'H16-C6-P2', 'H3-C2-N', 'H3-C2-N']	H38-C16-N2-P4-Fe	6	26	['GEDFIE']	1	Fe_2_6_Octahedral_['N', 'N', 'P', 'P', 'P', 'P']
ZEBSAA	Fe	2	0	6	232	Octahedral	0.37	('N', 'N', 'P', 'P', 'P', 'P')	['H16-C6-P2', 'H16-C6-P2', 'N3', 'N3']	H32-C12-N6-P4-Fe	6	26	['ZEBSAA']	1	Fe_2_6_Octahedral_['N', 'N', 'P', 'P', 'P', 'P']
FEKLUC	Fe	2	2	6	296	Octahedral	0.85	('N', 'N', 'P', 'P', 'P', 'P')	['H24-C10-P2', 'H24-C10-P2', 'H3-C2-N', 'H3-C2-N']	H54-C24-N2-P4-Fe	6	26	['FEKLUC']	1	Fe_2_6_Octahedral_['N', 'N', 'P', 'P', 'P', 'P']
QENWUC	Fe	2	2	6	344	Octahedral	0.92	('N', 'N', 'P', 'P', 'P', 'P')	['H24-C14-P2', 'H24-C14-P2', 'H3-C2-N', 'H3-C2-N']	H54-C32-N2-P4-Fe	6	26	['QENWUC']	1	Fe_2_6_Octahedral_['N', 'N', 'P', 'P', 'P', 'P']
TESRAL	Fe	2	2	6	692	Octahedral	1.18	('N', 'N', 'P', 'P', 'P', 'P')	['H26-C32-P2-S4', 'H26-C32-P2-S4', 'H3-C2-N', 'H3-C2-N']	H58-C68-N2-P4-S8-Fe	6	26	['TESRAL']	1	Fe_2_6_Octahedral_['N', 'N', 'P', 'P', 'P', 'P']
HEBPOT	Fe	2	0	6	326	Octahedral	0.48	('N', 'N', 'P', 'P', 'S', 'S')	['H14-C14-N2-S2', 'H21-C9-O3-P', 'H9-C3-P']	H44-C26-N2-O3-P2-S2-Fe	6	26	['HEBPOT']	1	Fe_2_6_Octahedral_['N', 'N', 'P', 'P', 'S', 'S']
HEBPUZ	Fe	2	0	6	254	Octahedral	0.45	('N', 'N', 'P', 'P', 'S', 'S')	['H14-C14-N2-S2', 'H9-C3-P', 'H9-C3-P']	H32-C20-N2-P2-S2-Fe	6	26	['HEBPUZ']	1	Fe_2_6_Octahedral_['N', 'N', 'P', 'P', 'S', 'S']
SAPQIK	Fe	2	0	6	314	Octahedral	2.25	('N', 'N', 'S', 'S', 'S', 'S')	['H10-C4-O2-P-S2', 'H10-C4-O2-P-S2', 'H8-C12-N2']	H28-C20-N2-O4-P2-S4-Fe	6	26	['SAPQIK']	1	Fe_2_6_Octahedral_['N', 'N', 'S', 'S', 'S', 'S']
WOVQAZ	Fe	2	0	6	346	Octahedral	1.80	('N', 'N', 'S', 'S', 'S', 'S')	['H14-C6-O2-P-S2', 'H14-C6-O2-P-S2', 'H8-C12-N2']	H36-C24-N2-O4-P2-S4-Fe	6	26	['WOVQAZ']	1	Fe_2_6_Octahedral_['N', 'N', 'S', 'S', 'S', 'S']
ZERFAG	Fe	2	0	6	316	Octahedral	2.81	('N', 'N', 'S', 'S', 'S', 'S')	['H16-C15-N-S2', 'H16-C15-N-S2']	H32-C30-N2-S4-Fe	6	26	['ZERFAG']	1	Fe_2_6_Octahedral_['N', 'N', 'S', 'S', 'S', 'S']
ZERFEK	Fe	2	1	6	316	Octahedral	3.29	('N', 'N', 'S', 'S', 'S', 'S')	['H16-C15-N-S2', 'H17-C15-N-S2']	H33-C30-N2-S4-Fe	6	26	['ZERFEK']	1	Fe_2_6_Octahedral_['N', 'N', 'S', 'S', 'S', 'S']
YAJLEA	Fe	2	0	6	220	Octahedral	1.00	('N', 'N', 'S', 'S', 'S', 'S')	['H17-C16-N-S4', 'H3-N']	H20-C16-N2-S4-Fe	6	26	['YAJLEA']	1	Fe_2_6_Octahedral_['N', 'N', 'S', 'S', 'S', 'S']
YAJKUP	Fe	2	0	6	228	Octahedral	1.18	('N', 'N', 'S', 'S', 'S', 'S')	['H17-C16-N-S4', 'H4-N2']	H21-C16-N3-S4-Fe	6	26	['YAJKUP']	1	Fe_2_6_Octahedral_['N', 'N', 'S', 'S', 'S', 'S']
HEYPAC	Fe	2	-1	6	232	Octahedral	2.71	('N', 'N', 'S', 'S', 'S', 'S')	['H17-C16-N-S4', 'N3']	H17-C16-N4-S4-Fe	6	26	['HEYPAC']	1	Fe_2_6_Octahedral_['N', 'N', 'S', 'S', 'S', 'S']
ZILYIC	Fe	2	0	6	140	Octahedral	2.70	('N', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H3-C7-N-O4']	H9-C7-N-O7-Fe	6	26	['ZILYIC']	1	Fe_2_6_Octahedral_['N', 'O', 'O', 'O', 'O', 'O']
YAJLAW	Fe	2	0	6	228	Octahedral	1.08	('N', 'O', 'S', 'S', 'S', 'S')	['H17-C16-N-S4', 'H4-C-O']	H21-C17-N-O-S4-Fe	6	26	['YAJLAW']	1	Fe_2_6_Octahedral_['N', 'O', 'S', 'S', 'S', 'S']
HEYNOO	Fe	2	0	6	284	Octahedral	0.29	('N', 'P', 'S', 'S', 'S', 'S')	['H11-C8-P', 'H17-C16-N-S4']	H28-C24-N-P-S4-Fe	6	26	['HEYNOO']	1	Fe_2_6_Octahedral_['N', 'P', 'S', 'S', 'S', 'S']
HEYNUU	Fe	2	0	6	324	Octahedral	0.34	('N', 'P', 'S', 'S', 'S', 'S')	['H17-C16-N-S4', 'H27-C12-P']	H44-C28-N-P-S4-Fe	6	26	['HEYNUU']	1	Fe_2_6_Octahedral_['N', 'P', 'S', 'S', 'S', 'S']
HEYNII	Fe	2	0	6	252	Octahedral	0.33	('N', 'P', 'S', 'S', 'S', 'S')	['H17-C16-N-S4', 'H9-C3-P']	H26-C19-N-P-S4-Fe	6	26	['HEYNII']	1	Fe_2_6_Octahedral_['N', 'P', 'S', 'S', 'S', 'S']
XOWXEP	Fe	2	0	6	332	Octahedral	0.05	('O', 'O', 'O', 'O', 'O', 'O')	['C-O3-F3-S', 'C-O3-F3-S', 'H8-C4-O', 'H8-C4-O', 'H8-C4-O', 'H8-C4-O']	H32-C18-O10-F6-S2-Fe	6	26	['XOWXEP']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
YEBTUX	Fe	2	0	6	176	Octahedral	0.09	('O', 'O', 'O', 'O', 'O', 'O')	['C2-O2-F3', 'C2-O2-F3', 'H2-O', 'H2-O', 'H2-O', 'H2-O']	H8-C4-O8-F6-Fe	6	26	['YEBTUX']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
CEQKIT	Fe	2	0	6	280	Octahedral	0.10	('O', 'O', 'O', 'O', 'O', 'O')	['H-C5-O2-F6', 'H-C5-O2-F6', 'H6-C2-O', 'H6-C2-O']	H14-C14-O6-F12-Fe	6	26	['CEQKIT']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
QEXZUP	Fe	2	0	6	360	Octahedral	0.37	('O', 'O', 'O', 'O', 'O', 'O')	['H10-C5-O2', 'H10-C5-O2', 'H10-C5-O2', 'H10-C5-O2', 'H9-C5-O2', 'H9-C5-O2']	H58-C30-O12-Fe	6	26	['QEXZUP']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
JOWYEC	Fe	2	0	6	288	Octahedral	0.48	('O', 'O', 'O', 'O', 'O', 'O')	['H18-B-C10-O6', 'H18-B-C10-O6']	H36-B2-C20-O12-Fe	6	26	['JOWYEC']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
QEDCOR	Fe	2	2	6	84	Octahedral	0.02	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H2-O', 'H2-O']	H12-O6-Fe	6	26	['QEDCOR', 'ONOTER', 'WAJKAU', 'XAZLAM', 'EJATEO', 'AMAVOB', 'VAQDAU', 'GOLSUX', 'PUQWOO']	9	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
ECAJOH	Fe	2	2	6	172	Octahedral	0.28	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H2-O', 'H8-C10-N2-O2']	H18-C10-N2-O7-Fe	6	26	['ECAJOH']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
MALFET04	Fe	2	0	6	184	Octahedral	1.59	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H3-C4-O4', 'H3-C4-O4']	H14-C8-O12-Fe	6	26	['MALFET04']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
XIZGUI	Fe	2	0	6	280	Octahedral	0.01	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'H5-C9-O6', 'H5-C9-O6']	H18-C18-O16-Fe	6	26	['XIZGUI']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
WABHIR	Fe	2	-2	6	164	Octahedral	0.14	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H2-O', 'H2-O', 'O4-S', 'O4-S']	H8-O12-S2-Fe	6	26	['WABHIR']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
TADQUN	Fe	2	0	6	344	Octahedral	0.17	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H3-C4-O4', 'H3-C4-O4', 'H8-C10-N2-O', 'H8-C10-N2-O']	H26-C28-N4-O12-Fe	6	26	['TADQUN']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
ZUNYIQ	Fe	2	0	6	204	Octahedral	0.15	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H3-C5-N2-O4', 'H3-C5-N2-O4']	H10-C10-N4-O10-Fe	6	26	['ZUNYIQ']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
JETGIY	Fe	2	0	6	224	Octahedral	0.77	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H5-C10-O3', 'H5-C10-O3']	H14-C20-O8-Fe	6	26	['JETGIY']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
KADVEU	Fe	2	2	6	172	Octahedral	0.04	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H5-C2-N-O', 'H5-C2-N-O', 'H5-C2-N-O', 'H5-C2-N-O']	H24-C8-N4-O6-Fe	6	26	['KADVEU']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
KUPQEU	Fe	2	0	6	260	Octahedral	0.79	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C9-N-O5', 'H6-C9-N-O5']	H16-C18-N2-O12-Fe	6	26	['KUPQEU']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
PVVBAY01	Fe	2	0	6	152	Octahedral	0.20	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C5-O2', 'H7-C5-O2']	H18-C10-O6-Fe	6	26	['PVVBAY01']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
SESGED	Fe	2	0	6	204	Octahedral	1.76	('O', 'O', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C8-O3', 'H7-C8-O3']	H18-C16-O8-Fe	6	26	['SESGED']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
USIMOA	Fe	2	2	6	132	Octahedral	0.03	('O', 'O', 'O', 'O', 'O', 'O')	['H4-C-O', 'H4-C-O', 'H4-C-O', 'H4-C-O', 'H4-C-O', 'H4-C-O']	H24-C6-O6-Fe	6	26	['USIMOA']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
YOHZUQ	Fe	2	0	6	224	Octahedral	0.03	('O', 'O', 'O', 'O', 'O', 'O')	['H4-C-O', 'H4-C-O', 'H4-C-O', 'H4-C-O', 'H5-C7-O2', 'H5-C7-O2']	H26-C18-O8-Fe	6	26	['YOHZUQ']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
YICGAT	Fe	2	2	6	324	Octahedral	0.08	('O', 'O', 'O', 'O', 'O', 'O')	['H5-C5-N-O', 'H5-C5-N-O', 'H5-C5-N-O', 'H5-C5-N-O', 'H5-C5-N-O', 'H5-C5-N-O']	H30-C30-N6-O6-Fe	6	26	['YICGAT']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
TAXQUH	Fe	2	0	6	184	Octahedral	0.20	('O', 'O', 'O', 'O', 'O', 'O')	['H6-C2-O', 'H6-C2-O', 'H7-C5-O2', 'H7-C5-O2']	H26-C14-O6-Fe	6	26	['TAXQUH']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
XARSEQ	Fe	2	2	6	276	Octahedral	0.02	('O', 'O', 'O', 'O', 'O', 'O')	['H6-C2-O-S', 'H6-C2-O-S', 'H6-C2-O-S', 'H6-C2-O-S', 'H6-C2-O-S', 'H6-C2-O-S']	H36-C12-O6-S6-Fe	6	26	['XARSEQ']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
OTULAR	Fe	2	0	6	258	Octahedral	0.59	('O', 'O', 'O', 'O', 'O', 'O')	['H6-C2-O2', 'H7-C10-O2-S', 'H7-C10-O2-S']	H20-C22-O6-S2-Fe	6	26	['OTULAR']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
REGROL	Fe	2	-2	6	224	Octahedral	1.11	('O', 'O', 'O', 'O', 'O', 'O')	['H6-C6-O7', 'H6-C6-O7']	H12-C12-O14-Fe	6	26	['REGROL']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
ENEKOZ	Fe	2	0	6	352	Octahedral	0.42	('O', 'O', 'O', 'O', 'O', 'O')	['H7-C14-O4', 'H7-C14-O4', 'H7-C3-N-O', 'H7-C3-N-O']	H28-C34-N2-O10-Fe	6	26	['ENEKOZ']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
KAPHUG	Fe	2	2	6	264	Octahedral	0.06	('O', 'O', 'O', 'O', 'O', 'O')	['H7-C3-N-O', 'H7-C3-N-O', 'H7-C3-N-O', 'H7-C3-N-O', 'H7-C3-N-O', 'H7-C3-N-O']	H42-C18-N6-O6-Fe	6	26	['KAPHUG']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
PAKHOB	Fe	2	0	6	364	Octahedral	0.03	('O', 'O', 'O', 'O', 'O', 'O')	['H7-C3-N-O', 'H7-C3-N-O', 'H7-C3-N-O', 'H7-C3-N-O', 'H7-C7-O3-S', 'H7-C7-O3-S']	H42-C26-N4-O10-S2-Fe	6	26	['PAKHOB']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'O', 'O']
GAYZEL	Fe	2	0	6	152	Octahedral	1.19	('O', 'O', 'O', 'O', 'S', 'S')	['H2-C2-N-O2-S', 'H2-C2-N-O2-S', 'H2-O', 'H2-O']	H8-C4-N2-O6-S2-Fe	6	26	['GAYZEL']	1	Fe_2_6_Octahedral_['O', 'O', 'O', 'O', 'S', 'S']
EGUZUB	Fe	2	2	6	216	Octahedral	0.00	('S', 'S', 'S', 'S', 'S', 'S')	['H12-C6-S3', 'H12-C6-S3']	H24-C12-S6-Fe	6	26	['EGUZUB', 'DIBJED']	2	Fe_2_6_Octahedral_['S', 'S', 'S', 'S', 'S', 'S']
LAXNON	Fe	2	2	6	232	Octahedral	0.09	('S', 'S', 'S', 'S', 'S', 'S')	['H14-C7-S3', 'H14-C7-S3']	H28-C14-S6-Fe	6	26	['LAXNON']	1	Fe_2_6_Octahedral_['S', 'S', 'S', 'S', 'S', 'S']
