refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
UDESEC	Co	2	0	6	197	Octahedral	1.27	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C9-N-O', 'H6-C9-N-O']	H16-C18-N2-O4-Co	7	27	['UDESEC']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
XEYTEB	Co	2	0	6	241	Octahedral	0.75	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C10-N2-O2', 'H7-C10-N2-O2']	H18-C20-N4-O6-Co	7	27	['XEYTEB']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
XEZSUT	Co	2	2	6	141	Octahedral	0.87	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C2-N3-O', 'H7-C2-N3-O']	H18-C4-N6-O4-Co	7	27	['XEZSUT']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
TEKFAT	Co	2	0	6	469	Octahedral	0.16	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C5-N6', 'H7-C5-N6', 'H8-C14-O5', 'H8-C14-O5']	H34-C38-N12-O12-Co	7	27	['TEKFAT']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
IWETUA	Co	2	0	6	381	Octahedral	0.07	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C6-N', 'H7-C6-N', 'H9-C14-O3', 'H9-C14-O3']	H36-C40-N2-O8-Co	7	27	['IWETUA']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
BOZNIP	Co	2	0	6	225	Octahedral	0.43	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C6-N-O', 'H7-C6-N-O', 'N-O3', 'N-O3']	H18-C12-N4-O10-Co	7	27	['BOZNIP']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
QOXJOD	Co	2	2	6	173	Octahedral	0.70	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C7-N-O', 'H7-C7-N-O']	H18-C14-N2-O4-Co	7	27	['QOXJOD']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
MARTEG	Co	2	0	6	237	Octahedral	0.77	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C7-N2-O4', 'H7-C7-N2-O4']	H18-C14-N4-O10-Co	7	27	['MARTEG']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
GIPMIB	Co	2	0	6	261	Octahedral	0.44	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H7-C8-N4-O-S', 'H7-C8-N4-O-S']	H18-C16-N8-O4-S2-Co	7	27	['GIPMIB']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
MUSLIX	Co	2	0	6	341	Octahedral	0.69	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H8-C14-N-O6', 'H8-C14-N-O6']	H20-C28-N2-O14-Co	7	27	['MUSLIX']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
