refcode,Charge,low spin,low spin energy,low spin expectation,Theoretical LS expecation,high spin,high spin energy,high spin expectation,Theoretical HS expectation,splitting,rel_m,multiplicity
QOBGIZ,0.0,0.0,-2289.275694,0.0,0.0,2.0,-2289.308232,6.0131,6.0,-20.418111189135000,1.11407212420558,5.0
QUSJOE,0.0,0.0,-2879.36591,0.0,0.0,2.0,-2879.414959,6.008,6.0,-30.778431086225,1.1862551120348600,5.0
RIDYIN,-1.0,0.5,-2469.513295,0.7631,0.75,2.5,-2469.394732,8.7587,8.75,74.39907626846500,0.9302715621862700,2.0
RIFCAM,-2.0,0.0,-2512.101689,0.0,0.0,2.0,-2512.141457,6.089,6.0,-24.954640918625,1.1076288338694300,5.0
RODVAI,-1.0,0.5,-2662.571639,0.9774,0.75,2.5,-2662.604155,8.7579,8.75,-20.404029875955,1.02854658938166,6.0
RONXEX,1.0,0.5,-2945.772787,1.2065,0.75,2.5,-2945.793499,8.7609,8.75,-12.997133641375000,1.043340418370460,6.0
RUDFAY,-1.0,0.5,-3678.269837,0.9544,0.75,2.5,-3678.305042,8.7603,8.75,-22.091415471645,1.046410277226430,6.0
RUZNAB,0.0,0.0,-3162.483497,0.0,0.0,2.0,-3162.521072,6.0956,6.0,-23.578575336075,1.110655624708060,5.0
SAVQIR,2.0,0.0,-2291.912833,0.0,0.0,2.0,-2291.835344,6.0354,6.0,48.62539740025,0.9552639183666530,1.0
SEDQOI,-2.0,0.5,-1976.091754,0.7641,0.75,2.5,-1975.953062,8.7663,8.75,87.030014190925,0.9288670664090920,2.0
SEFXOR,0.0,0.5,-3456.863705,0.9355,0.75,2.5,-3456.893205,8.76,8.75,-18.511511424715,1.0370737743172900,6.0
SESGED,0.0,0.0,-2485.790705,0.0,0.0,2.0,-2485.855138,6.0057,6.0,-40.432250587455,1.1523557438761100,5.0
SIBZEI,1.0,0.5,-2181.953108,0.9363,0.75,2.5,-2181.96066,8.7598,8.75,-4.738845067385,1.0417723683807400,6.0
SICCAI,-1.0,0.5,-3346.486223,0.9345,0.75,2.5,-3346.516974,8.7589,8.75,-19.296557184690000,1.040449964565580,6.0
SOGLOP,0.0,0.0,-2087.097628,0.0,0.0,2.0,-2087.126526,6.0074,6.0,-18.13419623746,1.1250504946245900,5.0
SOYVEK,2.0,0.0,-2295.495608,0.0,0.0,2.0,-2295.429717,6.042,6.0,41.34704021165,0.9732354205531060,1.0
TAPZOC,0.0,0.0,-2878.153642,0.0,0.0,2.0,-2878.207152,6.0086,6.0,-33.577901568005000,1.175375092225600,5.0
TAXQUH,0.0,0.0,-2264.052792,0.0,0.0,2.0,-2264.091768,6.0344,6.0,-24.457998524850000,1.0895706448637600,5.0
TEJMUS,1.0,0.5,-2410.564674,0.7674,0.75,2.5,-2410.50423,8.7592,8.75,37.929215593475,0.9539515347178540,2.0
TEVWUN,0.0,0.0,-2440.506156,0.0,0.0,2.0,-2440.533079,6.0092,6.0,-16.89465162173,1.1139179390558600,5.0
TUBWIW,0.0,0.5,-2572.325488,0.7793,0.75,2.5,-2572.330855,8.7572,8.75,-3.368188616725,1.0335994487814200,6.0
